"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case"
"38",0.00340741994041511,0.00382967003893197,0.00326701829884919,-0.00024917434202213,-0.00222302599000819,0,0.00461766563787504,0.00461766563787504,0.00172059608806635,0.00172059608806635,0.00301784395669856,0.00149890254048815,"Non-Ricardian Agents omega Low"
"39",0.00326303867618677,0.00367654302441126,0.0031255450687506,-0.000244013380349762,-0.00217698211631729,0,0.00443727486423812,0.00443727486423812,0.00161115274392638,0.00161115274392639,0.00288153168828027,0.00142395741346374,"Non-Ricardian Agents omega Low"
"40",0.0031236557842956,0.00352779499327021,0.00298927616292786,-0.000238486910566242,-0.00212767733693258,0,0.00426158930049793,0.00426158930049793,0.00150918213523482,0.00150918213523482,0.00275078925224846,0.00135275954279055,"Non-Ricardian Agents omega Low"
"1",0.00598321830033925,0.00541099864214468,0.00846094827064551,0.00439728992769156,0.00565188392357864,0,0.00214508116917872,0.00214508116917871,0.0357513528196451,0.0357513528196451,0.0128582379825481,0.01,"Non-Ricardian Agents omega High"
"2",0.00682827990212424,0.00634072019823589,0.00893942948137729,0.00374671045363203,0.00481568714532428,0,0.00394790925715046,0.00394790925715045,0.0321922159687078,0.0321922159687078,0.0126861397399186,0.0095,"Non-Ricardian Agents omega High"
"3",0.00750573597696702,0.00709246292426136,0.00929522190941395,0.00317584585947374,0.00408194875749097,0,0.00545134165038293,0.00545134165038292,0.029005115811025,0.029005115811025,0.0124710675923748,0.00902499999999999,"Non-Ricardian Agents omega High"
"4",0.0080376994761982,0.0076895311225675,0.00954527991694151,0.00267554106683775,0.00343890163961073,0,0.0066932724660078,0.00669327246600779,0.0261501885774642,0.0261501885774642,0.0122208208239487,0.00857374999999999,"Non-Ricardian Agents omega High"
"5",0.0084436732545907,0.00815248573696902,0.00970452479832603,0.00223766506481243,0.00287609491611881,0,0.00770718969718354,0.00770718969718353,0.0235918929856036,0.0235918929856036,0.0119421897182954,0.00814506249999999,"Non-Ricardian Agents omega High"
"6",0.00874084539134842,0.00849945441024512,0.00978607629153868,0.00185499766551035,0.002384248402056,0,0.00852267065144831,0.00852267065144831,0.02129853893493,0.02129853893493,0.0116410738256776,0.00773780937499999,"Non-Ricardian Agents omega High"
"7",0.00894435168902149,0.00874640709827488,0.00980145828773624,0.00152112871860215,0.00195512306242757,0,0.00916582247573764,0.00916582247573763,0.0192418677229372,0.0192418677229372,0.0113225868870826,0.00735091890624999,"Non-Ricardian Agents omega High"
"8",0.00906750896953473,0.00890740103795757,0.00976078158761313,0.00123036841727696,0.00158140572749191,0,0.00965967381580136,0.00965967381580135,0.0173966781434666,0.0173966781434666,0.0109911498965365,0.00698337296093749,"Non-Ricardian Agents omega High"
"9",0.00912202238885234,0.00899479844888743,0.00967290623997008,0.000977667478029525,0.00125660649898448,0,0.0100245229936183,0.0100245229936183,0.0157404934460832,0.0157404934460832,0.0106505736194619,0.00663420431289061,"Non-Ricardian Agents omega High"
"10",0.00911816963776229,0.0090194599773383,0.00954558571913728,0.000758546110190523,0.000974967453893002,0,0.010278247495107,0.010278247495107,0.0142532646850979,0.0142532646850979,0.0103041317396334,0.00630249409724608,"Non-Ricardian Agents omega High"
"11",0.00906496458106595,0.00899091656044509,0.00938559494967829,0.000569030809999776,0.000731381405201651,0,0.0104365790339876,0.0104365790339876,0.0129171064764501,0.0129171064764501,0.00995462567795574,0.00598736939238377,"Non-Ricardian Agents omega High"
"12",0.00897030260684411,0.0089175220940802,0.00919884396583185,0.000405598119875186,0.000521319615075947,0,0.0105133479889466,0.0105133479889466,0.0117160616166377,0.0117160616166377,0.00960444201117613,0.00568800092276458,"Non-Ricardian Agents omega High"
"13",0.00884108970764837,0.00880658902583592,0.00899047879643361,0.000265124587781323,0.000340767477102327,0,0.0105207005939761,0.0105207005939761,0.0106358914061062,0.0106358914061062,0.00925560331617568,0.00540360087662635,"Non-Ricardian Agents omega High"
